iso_a3,name,PRCP_2024_country_avg,n_stations_2024
FJI,Fiji,81.32295394773655,5.0
TZA,Tanzania,110.15991695005938,7.0
ESH,W. Sahara,,
CAN,Canada,26.092942155110205,1655.0
USA,United States of America,42.424893067396205,30849.0
KAZ,Kazakhstan,29.764069264069267,14.0
UZB,Uzbekistan,38.526752151321915,29.0
PNG,Papua New Guinea,161.13737944013172,4.0
IDN,Indonesia,152.78143733411898,92.0
ARG,Argentina,61.90495411792809,77.0
CHL,Chile,7.4398717890481505,18.0
COD,Dem. Rep. Congo,55.68181818181818,4.0
SOM,Somalia,70.82003608584662,3.0
KEN,Kenya,56.283913224666684,9.0
SDN,Sudan,,
TCD,Chad,105.18578835715408,8.0
HTI,Haiti,,
DOM,Dominican Rep.,77.12675291296149,4.0
RUS,Russia,15.44345829652308,579.0
BHS,Bahamas,16.541666666666668,1.0
FLK,Falkland Is.,15.985163204747774,1.0
NOR,Norway,39.37177394661751,242.0
GRL,Greenland,26.837089745465715,6.0
ATF,Fr. S. Antarctic Lands,,
TLS,Timor-Leste,,
ZAF,South Africa,39.87250099715034,46.0
LSO,Lesotho,,
MEX,Mexico,16.6338724884366,72.0
URY,Uruguay,65.31776919384949,13.0
BRA,Brazil,68.84445265569596,17.0
BOL,Bolivia,82.9405033928805,33.0
PER,Peru,89.97837254502531,19.0
COL,Colombia,68.65892966799831,26.0
PAN,Panama,,
CRI,Costa Rica,115.30691542933714,3.0
NIC,Nicaragua,,
HND,Honduras,50.50282635079573,4.0
SLV,El Salvador,89.33235294117648,2.0
GTM,Guatemala,,
BLZ,Belize,67.28530259365995,1.0
VEN,Venezuela,56.14,1.0
GUY,Guyana,70.52348041821726,2.0
SUR,Suriname,67.57846153846154,1.0
FRA,France,23.35642026847258,74.0
FRA,France,85.15099715099716,1.0
ECU,Ecuador,72.49599539895026,9.0
PRI,Puerto Rico,70.08537528362358,101.0
JAM,Jamaica,24.238281910397298,2.0
CUB,Cuba,58.229729729729726,1.0
ZWE,Zimbabwe,46.99394024276378,3.0
BWA,Botswana,22.986219421793926,4.0
NAM,Namibia,34.4045983474235,9.0
SEN,Senegal,91.14832409852342,12.0
MLI,Mali,98.65115803524644,12.0
MRT,Mauritania,,
BEN,Benin,60.368811882451546,6.0
NER,Niger,101.767326007326,7.0
NGA,Nigeria,29.949521694086297,15.0
CMR,Cameroon,73.11936001166266,3.0
TGO,Togo,74.24527889876916,5.0
GHA,Ghana,71.38604003938497,17.0
CIV,Côte d'Ivoire,69.56659330736593,14.0
GIN,Guinea,163.8351332913735,9.0
GNB,Guinea-Bissau,106.98076923076923,1.0
LBR,Liberia,,
SLE,Sierra Leone,89.0,1.0
BFA,Burkina Faso,114.86848571389376,41.0
BFA,Burkina Faso,39.03756591546363,8.0
CAF,Central African Rep.,46.513437378936295,3.0
COG,Congo,89.41383859327637,15.0
COG,Congo,51.532751091703055,1.0
GAB,Gabon,54.48311188597284,3.0
GNQ,Eq. Guinea,48.45086450247001,2.0
ZMB,Zambia,111.3,3.0
MWI,Malawi,75.83132530120481,1.0
MOZ,Mozambique,65.9751425328341,8.0
SWZ,eSwatini,,
AGO,Angola,180.5,1.0
BDI,Burundi,,
ISR,Israel,23.809307874858366,5.0
LBN,Lebanon,41.98913043478261,2.0
MDG,Madagascar,105.31003221912977,10.0
MDG,Madagascar,14.382812342325803,4.0
PSE,Palestine,,
GMB,Gambia,148.578125,1.0
TUN,Tunisia,5.844093696887154,5.0
DZA,Algeria,9.76941063959616,62.0
JOR,Jordan,15.46006289308176,3.0
ARE,United Arab Emirates,111.40342902412513,4.0
QAT,Qatar,1.2894736842105263,1.0
KWT,Kuwait,113.93264339657165,7.0
IRQ,Iraq,5.089928057553957,1.0
OMN,Oman,,
VUT,Vanuatu,130.53370526302064,5.0
KHM,Cambodia,66.11167512690355,1.0
THA,Thailand,94.97739919410229,45.0
LAO,Laos,103.19970960371164,6.0
MMR,Myanmar,145.29183059280268,5.0
VNM,Vietnam,66.55601138688942,14.0
PRK,North Korea,,
KOR,South Korea,103.74650501619713,11.0
MNG,Mongolia,58.4140400037159,40.0
IND,India,122.37767536515634,138.0
BGD,Bangladesh,84.60124551084071,10.0
BTN,Bhutan,,
NPL,Nepal,53.341026539371114,2.0
PAK,Pakistan,12.775149481881925,26.0
AFG,Afghanistan,,
TJK,Tajikistan,72.79985116889125,19.0
KGZ,Kyrgyzstan,70.48277588969938,4.0
TKM,Turkmenistan,54.19155278194548,19.0
IRN,Iran,8.427163581199228,29.0
SYR,Syria,51.91769230769231,5.0
ARM,Armenia,108.09067946371084,12.0
SWE,Sweden,19.059458446123617,542.0
SWE,Sweden,9.967521367521368,2.0
BLR,Belarus,,
UKR,Ukraine,50.198631584162705,30.0
POL,Poland,15.813870134991527,10.0
AUT,Austria,62.792383381419064,10.0
HUN,Hungary,13.915153767006137,8.0
MDA,Moldova,78.4634202172531,7.0
ROU,Romania,14.851342116123314,30.0
LTU,Lithuania,24.36084482085098,15.0
LVA,Latvia,16.23745172459002,20.0
EST,Estonia,15.719821534919962,27.0
DEU,Germany,25.074848751191034,547.0
BGR,Bulgaria,14.919908216783217,4.0
GRC,Greece,11.65882887142049,9.0
TUR,Turkey,30.778074963917835,53.0
ALB,Albania,,
HRV,Croatia,26.332389108476065,3.0
CHE,Switzerland,37.17735123360585,9.0
LUX,Luxembourg,29.726775956284154,1.0
BEL,Belgium,40.3532513770669,28.0
BEL,Belgium,31.36994219653179,1.0
NLD,Netherlands,28.847697256513293,343.0
PRT,Portugal,74.50237351263779,9.0
ESP,Spain,18.534006843010893,177.0
IRL,Ireland,40.88402656613131,11.0
NCL,New Caledonia,,
SLB,Solomon Is.,,
NZL,New Zealand,,
AUS,Australia,22.5182538186781,3943.0
LKA,Sri Lanka,61.848654686953914,6.0
CHN,China,25.23771029240834,201.0
TWN,Taiwan,,
ITA,Italy,18.926051731586995,39.0
DNK,Denmark,24.615258968667906,3.0
GBR,United Kingdom,27.089898738001107,96.0
ISL,Iceland,,
AZE,Azerbaijan,110.31259824301657,6.0
GEO,Georgia,32.99040310591473,6.0
PHL,Philippines,109.84069476620516,17.0
MYS,Malaysia,87.81647605590827,15.0
BRN,Brunei,122.33333333333333,1.0
SVN,Slovenia,54.78026239067056,2.0
FIN,Finland,17.57247247467178,176.0
SVK,Slovakia,20.851439660913293,5.0
CZE,Czechia,22.317965842530608,11.0
ERI,Eritrea,,
JPN,Japan,52.34280052026488,135.0
PRY,Paraguay,109.95405514345124,18.0
YEM,Yemen,,
SAU,Saudi Arabia,119.34367424242426,20.0
ATA,Antarctica,116.5686475409836,4.0
CYN,N. Cyprus,,
CYP,Cyprus,8.882183908045977,1.0
MAR,Morocco,8.002125331918316,12.0
EGY,Egypt,10.659961685823754,6.0
LBY,Libya,45.508984972906546,15.0
ETH,Ethiopia,113.37182971014492,6.0
DJI,Djibouti,,
SOL,Somaliland,,
UGA,Uganda,,
RWA,Rwanda,54.413223140495866,1.0
BIH,Bosnia and Herz.,27.83013901720989,6.0
MKD,North Macedonia,,
SRB,Serbia,17.570128113312645,3.0
MNE,Montenegro,36.02896204859166,8.0
TTO,Trinidad and Tobago,36.86,1.0
SSD,S. Sudan,,
